title,type,year,duration,rating,genres,descriptors,tubi_url,torrent_found,seed_status,max_seeders,total_results
=== HOMEPAGE ===,,,,,,,,,,,
Charlie's Angels,series,1981,,TV-14,"Action, Adventure, Crime, Mystery",,https://tubitv.com/series/300006625/charlie-s-angels,True,healthy,484,99
Courage the Cowardly Dog,series,2002,,TV-PG,"Comedy, Horror, Animation",,https://tubitv.com/series/300019075/courage-the-cowardly-dog,True,healthy,102,151
Dawson's Creek,series,2003,,TV-14,"Drama, Romance",,https://tubitv.com/series/300013803/dawson-s-creek,True,healthy,14,63
White Chicks,movie,2004,1h 49m,PG-13,"Comedy, Crime",,https://tubitv.com/movies/670475/white-chicks,True,healthy,143,152
The Jeffersons,series,1985,,TV-PG,Comedy,,https://tubitv.com/series/300008457/the-jeffersons,True,healthy,218,113
"Ed, Edd n Eddy",series,2008,,TV-G,"Kids & Family, Comedy, Animation",,https://tubitv.com/series/300019095/ed-edd-n-eddy,True,healthy,154,150
U.S. Marshals,movie,1998,2h 12m,PG-13,"Action, Crime, Thriller",,https://tubitv.com/movies/672658/u-s-marshals,True,healthy,1571,147
Superbad,movie,2007,1h 54m,R,Comedy,,https://tubitv.com/movies/710383/superbad,True,healthy,135,155
Foster's Home for Imaginary Friends,series,2008,,TV-G,"Kids & Family, Adventure, Comedy",,https://tubitv.com/series/300019076/foster-s-home-for-imaginary-friends,True,healthy,12,12
Scary Movie,movie,2000,1h 29m,R,"Comedy, Horror",,https://tubitv.com/movies/100034859/scary-movie,True,healthy,293,161
Garfield Gets Real,movie,2007,1h 18m,TV-G,"Animation, Comedy, Adventure, Kids & Family",,https://tubitv.com/movies/705037/garfield-gets-real,True,healthy,29,41
Foster's Home for Imaginary Friends,series,2008,,TV-G,"Kids & Family, Adventure, Comedy",,https://tubitv.com/series/300019076/foster-s-home-for-imaginary-friends,True,healthy,12,12
Scary Movie,movie,2000,1h 29m,R,"Comedy, Horror",,https://tubitv.com/movies/100034859/scary-movie,True,healthy,293,161
Teen Titans,series,2006,,TV-PG,"Action, Adventure, Crime",,https://tubitv.com/series/300019071/teen-titans,True,healthy,142,165
Codename: Kids Next Door,series,2007,,TV-Y7,"Kids & Family, Adventure, Comedy, Animation",,https://tubitv.com/series/300019082/codename-kids-next-door,True,healthy,95,41
Legally Blonde,movie,2001,1h 37m,PG-13,"Comedy, Romance",,https://tubitv.com/movies/358573/legally-blonde,True,healthy,331,125
Scary Movie 2,movie,2001,1h 23m,R,"Comedy, Horror",,https://tubitv.com/movies/100034861/scary-movie-2,True,healthy,293,152
Road House,movie,2024,2h 2m,R,"Action, Drama, Thriller",,https://tubitv.com/movies/100053681/road-house,True,healthy,1734,169
Scooby-Doo,movie,2002,1h 27m,PG,"Comedy, Mystery, Fantasy, Kids & Family",,https://tubitv.com/movies/515490/scooby-doo,True,healthy,172,255
Dexter's Laboratory,series,2003,,TV-G,"Kids & Family, Animation, Comedy",,https://tubitv.com/series/300019090/dexter-s-laboratory,True,healthy,61,46
Grown Ups 2,movie,2013,1h 42m,PG-13,Comedy,,https://tubitv.com/movies/100013977/grown-ups-2,True,healthy,139,152
Grown Ups 2,movie,2013,1h 42m,PG-13,Comedy,,https://tubitv.com/movies/100013977/grown-ups-2,True,healthy,139,152
Bring It On,movie,2000,1h 39m,PG-13,"Comedy, Sport, Romance",,https://tubitv.com/movies/100002047/bring-it-on,True,healthy,478,169
Scream,movie,1996,1h 52m,R,Horror,,https://tubitv.com/movies/100054992/scream,True,healthy,2647,256
"Girl, Interrupted",movie,1999,2h 8m,R,Drama,,https://tubitv.com/movies/556424/girl-interrupted,True,healthy,195,97
The Croods,movie,2013,1h 39m,PG,"Kids & Family, Adventure, Comedy, Animation, Fantasy",,https://tubitv.com/movies/100055111/the-croods,True,healthy,113,158
Let's Be Cops,movie,2014,1h 45m,R,"Comedy, Action",,https://tubitv.com/movies/655134/let-s-be-cops,True,healthy,405,88
Hitch,movie,2005,1h 59m,PG-13,"Comedy, Romance",,https://tubitv.com/movies/672415/hitch,True,healthy,231,196
Dirty Grandpa,movie,2016,1h 43m,R,Comedy,,https://tubitv.com/movies/100028608/dirty-grandpa,True,healthy,131,153
What Happens in Vegas,movie,2008,1h 39m,PG-13,"Comedy, Romance",,https://tubitv.com/movies/625907/what-happens-in-vegas,True,healthy,224,150
Kissing Is the Easy Part,movie,2026,1h 41m,TV-14,Romance,"D, L, S",https://tubitv.com/movies/100050541/kissing-is-the-easy-part,True,healthy,772,6
Mr. Robot,series,2019,,TV-MA,"Drama, Crime, Thriller",,https://tubitv.com/series/300015515/mr-robot,True,healthy,250,141
Why Him?,movie,2016,1h 52m,R,Comedy,,https://tubitv.com/movies/100054361/why-him,True,healthy,174,147
Gemini Man,movie,2019,1h 58m,PG-13,"Action, Sci-Fi, Thriller",,https://tubitv.com/movies/100053674/gemini-man,True,healthy,87,148
What Happens in Vegas,movie,2008,1h 39m,PG-13,"Comedy, Romance",,https://tubitv.com/movies/625907/what-happens-in-vegas,True,healthy,224,150
Bring It On: All or Nothing,movie,2006,1h 39m,PG-13,"Comedy, Sport",,https://tubitv.com/movies/616516/bring-it-on-all-or-nothing,True,healthy,73,51
I Am Number Four,movie,2011,1h 50m,PG-13,"Sci-Fi, Action, Adventure",,https://tubitv.com/movies/100003807/i-am-number-four,True,healthy,63,151
Identity Thief,movie,2013,1h 52m,R,"Comedy, Action, Crime",,https://tubitv.com/movies/724345/identity-thief,True,healthy,123,155
You Don't Mess with the Zohan,movie,2008,1h 53m,PG-13,"Comedy, Action",,https://tubitv.com/movies/710375/you-don-t-mess-with-the-zohan,True,healthy,685,94
Bullet Train,movie,2022,2h 7m,R,"Action, Comedy, Thriller",,https://tubitv.com/movies/100053685/bullet-train,True,healthy,705,160
Tyler Perry's Madea's Witness Protection,movie,2012,1h 55m,PG-13,"Comedy, Drama",,https://tubitv.com/movies/579298/tyler-perry-s-madea-s-witness-protection,True,low_seed,1,7
Terri Joe: Missionary in Miami,movie,2026,1h 22m,TV-MA,Comedy,"L, S",https://tubitv.com/movies/100050126/terri-joe-missionary-in-miami,True,healthy,126,6
House of Feelings,series,2026,,TV-14,"Reality, Romance, Comedy",,https://tubitv.com/series/300018684/house-of-feelings,False,not_found,0,0
The Cyanide & Happiness Show,series,2014,,TV-MA,"Comedy, Animation",,https://tubitv.com/series/300018113/the-cyanide-happiness-show,True,healthy,24,58
Stay Wild,series,2026,,TV-PG,"Reality, Comedy",,https://tubitv.com/series/300019707/stay-wild,True,healthy,15,24
Jordan & Salish Matter,series,2026,,TV-G,"Kids & Family, Reality",,https://tubitv.com/series/300016928/jordan-salish-matter,False,not_found,0,0
Ben Azelart,series,2026,,TV-PG,Reality,,https://tubitv.com/series/300019236/ben-azelart,False,not_found,0,0
The Royalty Family,series,2026,,TV-PG,"Reality, Lifestyle, Comedy",,https://tubitv.com/series/300018659/the-royalty-family,False,not_found,0,0
Bass Fishing Productions,series,2025,,TV-PG,"Reality, Adventure, Science & Nature",,https://tubitv.com/series/300017976/bass-fishing-productions,False,not_found,0,0
Like Nastya,series,2022,,TV-G,"Kids & Family, Music, Comedy",,https://tubitv.com/series/300011343/like-nastya,True,healthy,107,8
Minecraft with EYstreem,series,2024,,TV-PG,"Reality, Comedy, Entertainment",,https://tubitv.com/series/300018545/minecraft-with-eystreem,False,not_found,0,0
Dexter's Laboratory,series,2003,,TV-G,"Kids & Family, Animation, Comedy",,https://tubitv.com/series/300019090/dexter-s-laboratory,True,healthy,61,46
Scooby-Doo Where Are You?,series,1976,,TV-G,"Kids & Family, Animation, Comedy, Mystery",,https://tubitv.com/series/300006854/scooby-doo-where-are-you,True,healthy,84,130
The Powerpuff Girls,series,2005,,TV-Y7,"Action, Adventure, Animation, Comedy",,https://tubitv.com/series/300019078/the-powerpuff-girls,True,healthy,66,152
Ben 10,series,2007,,TV-Y7,"Action, Comedy, Adventure, Animation",FV,https://tubitv.com/series/300019074/ben-10,True,healthy,73,155
Tom and Jerry Theatricals,series,1964,,TV-PG,"Kids & Family, Adventure, Animation, Comedy",,https://tubitv.com/series/300000610/tom-and-jerry-theatricals,False,not_found,0,0
Looney Tunes,series,2003,,TV-PG,"Kids & Family, Animation, Comedy",,https://tubitv.com/series/300016553/looney-tunes,True,healthy,144,161
"What's New, Scooby-Doo?",series,2006,,TV-G,"Animation, Kids & Family, Comedy, Mystery",,https://tubitv.com/series/300010794/what-s-new-scooby-doo,True,healthy,32,41
The Looney Tunes Show,series,2013,,TV-PG,"Animation, Comedy, Kids & Family",,https://tubitv.com/series/300015103/the-looney-tunes-show,True,healthy,27,150
My Little Pony: Friendship Is Magic,series,2010,,TV-Y,"Kids & Family, Fantasy, Adventure, Animation",,https://tubitv.com/series/300014190/my-little-pony-friendship-is-magic,True,healthy,47,150
Animaniacs,series,1998,,TV-G,"Kids & Family, Animation, Comedy",,https://tubitv.com/series/300019067/animaniacs,True,healthy,102,152
Compilations,unknown,2025,52 min,NR,Family Feud,,https://tubitv.com/live/400000196/family-feud,True,healthy,94,148
How Will the Mets ADJUST Without Juan Soto in the Lineup? | D-Backs vs. Mets Series Preview,unknown,2022,34 min,TV-14,WTIC Hartford FOX61,,https://tubitv.com/live/644789/wtic-hartford-fox61,False,not_found,0,0
Chicago Fire,unknown,,,TV-14,ION,,https://tubitv.com/live/682634/ion,True,healthy,892,143
How It's Made,unknown,,,TV-G,"Documentary, How To",,https://tubitv.com/live/715952/how-to,True,healthy,121,148
Fatal Attraction-Dupe,unknown,,,TV-14,"Documentary, TV One Crime & Justice",,https://tubitv.com/live/400000011/tv-one-crime-justice,False,not_found,0,0
Dateline NBC,unknown,,,NR,Dateline 24/7,,https://tubitv.com/live/711410/dateline-24-7,True,healthy,159,133
Forensic Files,unknown,,,TV-14,"Documentary, Forensic Files",,https://tubitv.com/live/671083/forensic-files,True,healthy,87,147
LiveNOW from FOX,unknown,2020,4 hr,NR,LiveNOW from FOX,,https://tubitv.com/live/555127/livenow-from-fox,False,not_found,0,0
BodyCam by Law&Crime,unknown,,,TV-14,"Crime, Law&Crime",,https://tubitv.com/live/400000251/law-crime,False,not_found,0,0
Hawaii Five-0,unknown,,,TV-14,ION Mystery,,https://tubitv.com/live/684167/ion-mystery,True,healthy,75,150
Boarders,series,2026,,TV-MA,"Drama, Comedy",L,https://tubitv.com/series/300002557/boarders,True,healthy,62,136
Rockabye,movie,2026,1h 38m,TV-14,Thriller,"L, V",https://tubitv.com/movies/100049583/rockabye,True,healthy,390,102
Woman to Woman,movie,2026,1h 39m,TV-14,Thriller,V,https://tubitv.com/movies/100046434/woman-to-woman,True,healthy,583,169
Gonzaga: The Slipper Still Fits,movie,2026,1h 15m,TV-14,"Drama, Sport, Documentary",L,https://tubitv.com/movies/100053310/gonzaga-the-slipper-still-fits,False,not_found,0,0
We Got Time Today,series,2026,,TV-14,"Talk Show, Reality","D, L",https://tubitv.com/series/300013864/we-got-time-today,True,healthy,11,27
The Bachelorette Party,movie,2026,1h 22m,TV-14,Thriller,"D, L",https://tubitv.com/movies/100047590/the-bachelorette-party,True,healthy,195,94
WWE EVOLVE,series,2026,,TV-PG,Entertainment,,https://tubitv.com/series/300015112/wwe-evolve,True,healthy,21,150
Unrequited,movie,2026,1h 35m,TV-MA,Thriller,L,https://tubitv.com/movies/100045155/unrequited,True,healthy,1157,104
Kissing Is the Easy Part,movie,2026,1h 41m,TV-14,Romance,"D, L, S",https://tubitv.com/movies/100050541/kissing-is-the-easy-part,True,healthy,772,6
The Moment,movie,2026,1h 16m,TV-MA,"Sport, Documentary",L,https://tubitv.com/movies/100052785/the-moment,True,healthy,776,181
Home,movie,2015,1h 34m,PG,"Kids & Family, Animation, Adventure, Sci-Fi, Comedy",,https://tubitv.com/movies/100054800/home,True,healthy,711,258
Zombieland: Double Tap,movie,2019,1h 40m,R,"Action, Comedy, Horror, Sci-Fi",,https://tubitv.com/movies/100053682/zombieland-double-tap,True,healthy,224,131
Chappie,movie,2015,2h 1m,R,"Sci-Fi, Action, Crime, Thriller",,https://tubitv.com/movies/556756/chappie,True,healthy,95,153
The Hot Chick,movie,2002,1h 45m,PG-13,"Comedy, Fantasy",,https://tubitv.com/movies/579151/the-hot-chick,True,healthy,151,142
The NeverEnding Story,movie,1984,1h 34m,PG,"Adventure, Fantasy, Kids & Family",,https://tubitv.com/movies/100040651/the-neverending-story,True,healthy,324,159
Assassin's Creed,movie,2016,1h 56m,PG-13,"Action, Adventure, Sci-Fi",,https://tubitv.com/movies/100026825/assassin-s-creed,True,healthy,1775,147
Sunshine,movie,2007,1h 48m,R,"Sci-Fi, Thriller",,https://tubitv.com/movies/100054353/sunshine,True,healthy,333,218
